Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
38,161.22200651651292,0.5151515151515151,1.4173010243785802,0.16897540690941326,1.6666666666666665,1.0082420593765546,0.47058823529411764,2,0.8532236439504164,0.2630642362583019,1.5,0.5999989881973218,0.5686274509803921,3,1.1486113587720255,0.4434310077102602,2.5,0.5,0.5742574257425742,3,51,48,19.277189120395317,19.309056041265247,124.88595172854262,0.8697700845625927,3
39,163.02714832309456,0.4807692307692308,1.455608617329037,0.3835550354468951,2.5,1.000167256750356,0.54,1,0.8477187741807027,0.2535201075558664,1.3400885729743368,0.5,0.66,2,1.2526876770343744,0.4387954096276029,2.5,0.5,0.594059405940594,2,50,54,20.047681602043554,18.05991547011789,91.01143652191425,0.3080584360149912,3
40,164.88586260042217,0.6071428571428571,1.664127061435816,0.7320539349139772,3.5,1.0049881641173333,0.6470588235294118,3,0.880670105435436,0.3425297933623602,1.5,0.2857142857142857,0.6862745098039216,2,1.1576412839496493,0.5797081993431198,3.5,0.5,0.6336633663366337,1,51,33,18.939486587091604,16.5380104571786,88.02197261962806,1.383420522119041,3
41,166.6075056090022,0.5747126436781609,1.4788167120682405,0.34470349912338966,2.5,1.0653375306051067,0.64,2,1.0103873958194804,0.44715012996153536,2.0,0.39999999999999997,0.6,1,1.348625286483597,0.6557639070114067,3.424170882518269,0.5763637449961164,0.6435643564356436,3,50,37,21.310249764177943,18.885635891187885,127.03061424731231,0.2871241020882515,3
42,168.31508823813417,0.5604395604395604,1.460872671444195,0.3983855798525989,2.9249199798277123,1.058211895340982,0.5490196078431373,2,0.8208669378291163,0.25180680862994836,1.5,0.3013723020190433,0.6470588235294118,3,1.2156164093941506,0.5040153368013267,2.5,0.32199194050822516,0.5445544554455446,1,51,40,19.412607391777776,17.591910153287234,90.17457043572746,0.4701063709417253,3
43,169.84284058553789,0.6296296296296297,1.5092082959770337,0.43071988428301894,2.5,1.000050592778724,0.5686274509803921,3,0.8821952910943294,0.31749682148621555,2.0,0.5166666666666667,0.6274509803921569,3,1.3153706061327788,0.7574311210929239,4.71402502694597,0.39999999999999997,0.6039603960396039,2,51,30,20.4930217133384,20.265364313872787,139.92459409649666,1.1952001757769035,3
44,171.55116367175543,0.5903614457831325,1.290938737601272,0.2735542019730942,2.0,1.0008333333333332,0.4897959183673469,1,1.0078482434383707,0.26619691231245307,1.5,0.5,0.46938775510204084,3,1.2668841392314731,0.47891932436745543,2.829156829679595,0.6515809443507589,0.5643564356435643,3,49,34,19.484097142629924,14.63474375814909,72.37178756570914,0.8720993528974169,3
45,173.34078537702894,0.5543478260869565,1.6664772362245706,0.5428390989681585,3.0,1.02519866120691,0.6078431372549019,2,0.7539090476010181,0.22851907965913154,1.0861698813743401,0.3333333333333333,0.803921568627451,1,1.1314515034192008,0.5691233182921295,3.0,0.39999999999999997,0.6078431372549019,1,51,41,19.801051033897014,20.378702856031353,110.68360318563582,0.9682752707779071,3
46,174.76939076049354,0.7083333333333334,1.4401289382654068,0.20447972727795863,1.7452951096121418,1.0002080442853187,0.5882352941176471,3,0.8945438959621989,0.24147158498174512,1.3333333333333335,0.6666666666666666,0.6666666666666666,2,1.1201268984589274,0.4332332823919852,2.278128937743948,0.43441672904643475,0.6568627450980392,1,51,21,18.316195399008887,15.977170417924132,76.34861481596982,0.48010415536631623,3
47,176.44020593196677,0.5483870967741935,1.3549475747063768,0.2423211944445655,2.0,1.000008431703204,0.5882352941176471,1,0.9271253712273237,0.29095291237555915,1.5,0.6666666666666666,0.6078431372549019,3,1.1888979061687217,0.6415019901940002,3.794832686263635,0.3999945873533511,0.5643564356435643,1,51,42,20.683790607120738,21.580724574354875,146.08077229117683,0.6217716622683896,3
48,177.82671005994212,0.5882352941176471,1.6147260398398948,0.6120390709919454,3.0,1.0002994150863032,0.62,1,0.7242115953954242,0.2446209870734278,1.0583438950033859,0.3333333333333333,0.68,2,1.417639992108,0.7787167562533589,4.0,0.5,0.7227722772277227,3,50,35,16.995293780699054,15.015731477139475,75.80279653374889,0.46999999999999886,3
49,179.01042847804007,0.7083333333333334,1.379567191575601,0.28171256350352586,2.0,1.000758741649543,0.7450980392156863,3,0.890516669784553,0.29549938249097785,1.5,0.554014032530807,0.6862745098039216,1,1.0995706406698846,0.44353935335547345,2.1214024732996064,0.5,0.6764705882352942,3,51,21,17.715956009329833,16.38347228492062,85.13101823377363,0.31764760348536925,3
50,180.4773500391599,0.6144578313253012,1.5126297776640651,0.6226493498593052,4.0,1.0637992637505413,0.6274509803921569,2,0.8308212361542104,0.2974664339893469,1.5,0.25,0.7254901960784313,3,1.1872859053128852,0.3979031362889114,2.0,0.4,0.6534653465346535,2,51,32,15.851519263226146,17.952928037916074,87.69907870899826,0.39543773213994166,3
51,181.86420246848928,0.5882352941176471,1.4620350017508146,0.26317404270568195,2.0,1.0005724446425768,0.6,2,0.8517711224942708,0.263942155817719,1.5,0.5,0.68,3,1.1570126534309146,0.46921473765990096,2.525220350257768,0.39999999999999997,0.6336633663366337,1,50,35,19.977500798801458,18.13358942292444,85.53793656714127,0.6171709649683642,3
52,182.97345948302979,0.5730337078651685,1.3884088943535176,0.30585412022655817,2.497133220910624,1.0008333333333332,0.5294117647058824,2,1.0017603179519048,0.38808788221514867,2.0,0.6666666666666666,0.5686274509803921,2,1.0934654091896245,0.4262047167941665,2.339769533445756,0.39999999999999997,0.5643564356435643,2,51,38,16.193641787067097,14.571716079065364,78.5275731895498,0.7440720662234837,3
53,184.28363510807867,0.6410256410256411,1.4682269766000504,0.30250323684101027,2.0,1.006677229515618,0.6,3,0.8105988167232073,0.2790952744523533,1.4999999999999998,0.5,0.72,1,1.235785607553499,0.428915327539483,2.002462057335582,0.5,0.6534653465346535,3,50,28,18.352697383251243,15.934640478568747,93.70796554296379,0.4341658669218373,3
