Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
59,222.1273439969986,0.47674418604651164,1.5652586887049609,0.2883327408191515,2.5,1.1093977079843353,0.5853658536585366,2,0.911109231694482,0.41585915018318115,1.5,0.39999999999999997,0.5609756097560976,2,1.0827956989247314,0.4672711139229667,2.0,0.39999999999999997,0.6219512195121951,1,41,45,8.389485073275203,7.462726545588736,36.67702503131176,0.5525329734823945,3
60,223.2045321259418,0.5857142857142857,1.6571797025209924,0.3906149849452875,2.9999999999999996,1.4999999999999998,0.5121951219512195,2,0.8874999999999998,0.48348656574848,2.0,0.33333333333333337,0.6097560975609756,1,1.2870351351451543,0.6140086167827067,2.9999999999999996,0.2857142857142857,0.5555555555555556,2,41,29,13.222177006566982,14.014355316527402,68.99446717989753,0.4327817001676583,3
61,224.10220103765346,0.5633802816901409,1.7242160859124198,0.5885045853027282,3.5,1.050449205252246,0.575,1,0.7408082670979133,0.3095005852982936,1.5,0.39999999999999997,0.575,1,1.2916649751917004,0.5574084398819976,2.5,0.5,0.6296296296296297,3,40,31,8.508787288899903,7.207905422942653,38.63876577579359,0.40804411526206436,3
62,225.07768984182485,0.5942028985507246,1.6771666666666665,0.6298582953508055,4.0,1.1785,0.5853658536585366,1,1.07843137254902,0.5290769184352262,2.0,0.25,0.5853658536585366,3,1.2172619047619049,0.744437287733111,4.0,0.5,0.654320987654321,2,41,28,14.635642956462098,17.6082729134141,105.40763461888882,0.7746612162745758,3
63,226.3415911180175,0.47058823529411764,1.4637446394014932,0.09729158072296891,1.5,1.1318947368421053,0.525,2,0.7877738980059891,0.2568383085105982,1.5,0.6666666666666666,0.725,2,1.0945170359890832,0.4120426815861576,1.5,0.5,0.6296296296296297,2,40,45,10.444091874767077,11.526583260586872,79.8987347559088,0.6220691011672275,3
64,227.40521578947417,0.5,1.6416666666666664,0.4660239935594511,3.5,1.3333333333333333,0.5121951219512195,1,0.9309489980024486,0.519969524896856,2.0,0.2857142857142857,0.5121951219512195,3,1.1708337509908926,0.6333251592285877,3.5,0.39999999999999997,0.5555555555555556,3,41,41,11.481554686859504,11.601054058921559,63.36187313045527,0.31400636936215026,3
65,228.63437490003787,0.45977011494252873,1.625,0.3872983346207417,3.0,1.4999999999999998,0.6,1,1.0454545454545454,0.43519413988924455,1.5,0.6666666666666666,0.725,3,1.086207415023177,0.4727084712031636,2.0,0.5,0.6419753086419753,2,40,47,13.091096886381878,14.492651190261899,104.59052364041607,0.34205262752974064,1
66,229.95054073342357,0.5540540540540541,1.824899877162863,0.4781037385391505,3.0,1.4999999999999998,0.6585365853658537,1,0.6775202372494564,0.2818615069025366,1.5,0.3333333333333333,0.7073170731707317,2,1.0910619262004164,0.6320143879860883,3.0,0.5,0.7283950617283951,2,41,33,13.549134459900134,12.657023020134476,65.96962799008426,0.44181444068748743,3
67,231.1151539071319,0.5128205128205128,1.6139846600462104,0.5609005112905344,4.0,1.1523947368421052,0.475,2,0.9042689993377633,0.39673844863085395,1.6666666666666665,0.5,0.6,3,1.0324411569265208,0.45009704219439106,1.5,0.39999999999999997,0.6296296296296297,2,40,38,12.248132606288804,16.331658294300016,112.25645257688625,0.3080584360149912,3
68,232.02392041019502,0.5714285714285714,1.6842105263157894,0.50581414888907,3.5,1.4999999999999998,0.525,1,0.8711779448621553,0.43881202485517296,1.6666666666666665,0.2857142857142857,0.525,2,1.221264367816092,0.6051514396538783,3.5,0.5,0.6419753086419753,2,40,30,10.859523123634967,10.035003095878308,57.28834387505373,0.241660919471891,3
